combination,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,elapsed,accuracy
0-1,400,0.1,8,0.7,0.8,10,5.165060043334961,0.7495913978494624
0-2,600,0.1,5,1.0,1.0,50,8.839800596237183,0.7224086021505376
0-3,600,0.1,8,1.0,1.0,10,15.378283977508545,0.7499354838709678
0-4,600,0.01,8,0.7,0.8,10,22.385634899139404,0.7215483870967742
0-5,200,0.01,5,0.7,0.8,10,23.66716742515564,0.6960860215053764
0-6,400,0.1,5,0.7,0.8,50,26.138039350509644,0.7209462365591398
0-7,400,0.01,8,1.0,0.8,50,30.457760334014893,0.7091612903225807
0-8,200,0.05,5,0.7,1.0,10,31.690995693206787,0.706494623655914
0-9,600,0.05,8,1.0,1.0,10,37.49633073806763,0.7400430107526882
0-10,200,0.05,5,1.0,1.0,50,38.71319007873535,0.6999569892473119
0-11,600,0.05,5,0.7,0.8,50,42.23200559616089,0.7160430107526882
0-12,600,0.1,5,1.0,1.0,10,45.47223210334778,0.7292043010752688
0-13,600,0.1,8,0.7,1.0,1,51.79238247871399,0.7570752688172043
0-14,600,0.05,8,1.0,0.8,50,57.50197100639343,0.7346236559139785
1-1,200,0.1,5,0.7,0.8,50,2.088578939437866,0.7083010752688172
1-2,600,0.01,8,0.7,0.8,1,8.761292695999146,0.7248172043010753
1-3,400,0.01,5,1.0,0.8,10,11.498108386993408,0.6999569892473119
1-4,600,0.05,8,1.0,0.8,1,17.6884708404541,0.7483010752688172
1-5,200,0.1,5,0.7,1.0,50,18.88871169090271,0.7104516129032258
1-6,200,0.1,8,1.0,1.0,10,20.869795322418213,0.7345376344086022
1-7,400,0.05,8,1.0,0.8,1,24.780810117721558,0.7396129032258064
1-8,200,0.1,8,0.7,0.8,50,27.007347106933594,0.7286881720430107
1-9,400,0.1,8,1.0,0.8,1,30.776633501052856,0.752258064516129
1-10,200,0.1,5,0.7,1.0,1,31.952845573425293,0.7160430107526882
1-11,400,0.1,5,1.0,0.8,1,34.12890005111694,0.7272258064516129
1-12,400,0.05,5,0.7,1.0,10,36.51232719421387,0.7150967741935483
1-13,200,0.01,5,1.0,1.0,50,37.78038191795349,0.6941935483870968
1-14,400,0.01,8,0.7,0.8,10,42.21210551261902,0.7156129032258065
2-1,400,0.01,8,0.7,0.8,50,5.256946325302124,0.7084731182795699
2-2,200,0.01,8,1.0,0.8,10,7.519939661026001,0.7100215053763441
2-3,200,0.05,8,1.0,0.8,10,9.59590768814087,0.7274838709677419
2-4,600,0.1,8,1.0,0.8,50,15.439497709274292,0.7436559139784946
2-5,400,0.05,5,0.7,1.0,1,17.74291729927063,0.7176774193548388
2-6,600,0.1,5,1.0,0.8,10,20.92170023918152,0.7273118279569892
2-7,400,0.1,5,0.7,0.8,1,23.189345359802246,0.7304086021505376
2-8,600,0.05,8,1.0,1.0,50,29.105632781982422,0.7303225806451613
2-9,400,0.05,5,1.0,0.8,50,31.385050773620605,0.7094193548387097
2-10,200,0.05,8,1.0,0.8,1,33.46353363990784,0.727741935483871
2-11,600,0.01,8,1.0,0.8,50,39.83913516998291,0.7146666666666667
2-12,400,0.05,5,1.0,0.8,1,42.06418228149414,0.7138064516129032
2-13,200,0.1,8,1.0,0.8,1,44.1356155872345,0.7416774193548387
2-14,200,0.05,8,1.0,0.8,50,46.22179388999939,0.7183655913978495
3-1,200,0.1,5,1.0,0.8,1,2.0680320262908936,0.7146666666666667
3-2,400,0.01,8,0.7,1.0,50,7.073870658874512,0.7081290322580646
3-3,600,0.05,8,1.0,0.8,10,13.565605401992798,0.7411612903225806
3-4,600,0.01,5,0.7,1.0,1,17.34148406982422,0.7046881720430107
3-5,600,0.01,8,1.0,0.8,10,23.92452883720398,0.7208602150537634
3-6,200,0.01,8,1.0,0.8,1,26.3668053150177,0.7128602150537634
3-7,600,0.05,8,0.7,1.0,50,32.85944747924805,0.7359139784946237
3-8,400,0.05,8,1.0,1.0,50,37.11716413497925,0.7255053763440861
3-9,200,0.05,8,1.0,1.0,50,39.29701232910156,0.7158709677419355
3-10,200,0.01,5,1.0,1.0,10,40.57583999633789,0.6961720430107526
3-11,200,0.1,8,0.7,1.0,50,42.74600386619568,0.7289462365591398
3-12,600,0.05,8,1.0,1.0,1,48.627495527267456,0.7421075268817204
3-13,600,0.1,8,1.0,0.8,10,54.223251819610596,0.7521720430107527
3-14,400,0.05,5,1.0,1.0,10,56.512598276138306,0.709247311827957
4-1,600,0.01,5,1.0,1.0,1,4.667541980743408,0.701505376344086
4-2,400,0.05,8,0.7,0.8,10,8.908671140670776,0.7426236559139785
4-3,600,0.05,5,0.7,1.0,10,12.647604703903198,0.7203440860215053
4-4,400,0.1,8,1.0,0.8,10,16.454161167144775,0.7458924731182796
4-5,600,0.01,5,0.7,1.0,50,20.268546104431152,0.7003870967741935
4-6,600,0.01,8,0.7,1.0,1,27.27266001701355,0.7253333333333334
4-7,200,0.1,5,1.0,0.8,10,28.448761701583862,0.7109677419354838
4-8,600,0.05,5,1.0,1.0,1,31.823657512664795,0.7200860215053764
4-9,600,0.01,5,0.7,1.0,10,35.64073467254639,0.7025376344086022
4-10,200,0.05,8,0.7,1.0,50,37.89773631095886,0.7206881720430107
